name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner
Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner
Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,Second Owner
Nissan Terrano XE D,2015,590000,65000,Diesel,Dealer,Manual,First Owner
Nissan Sunny Diesel XV,2013,450000,80000,Diesel,Individual,Manual,First Owner
Nissan Terrano XV Premium 110 PS,2013,750000,80000,Diesel,Individual,Manual,First Owner
Nissan Sunny XV D Premium Leather,2015,450000,50000,Diesel,Individual,Manual,First Owner
Nissan Terrano XL Plus 85 PS,2014,550000,80000,Diesel,Individual,Manual,Second Owner
Nissan Terrano XL 85 PS,2014,600000,27000,Diesel,Dealer,Manual,First Owner
Nissan Sunny XL,2012,350000,40000,Petrol,Individual,Manual,First Owner
Nissan Sunny Diesel XV,2012,300000,170000,Diesel,Individual,Manual,First Owner
Nissan Micra Diesel XV Premium,2011,138000,90000,Diesel,Individual,Manual,Second Owner
Nissan Micra Diesel XV Premium,2013,210000,13770,Diesel,Individual,Manual,First Owner
Nissan Terrano XL 110 PS,2014,425000,136906,Diesel,Individual,Manual,First Owner
Nissan Micra XL CVT,2015,434999,40000,Petrol,Individual,Automatic,Second Owner
Nissan Terrano XL Plus 85 PS,2015,530000,55000,Diesel,Dealer,Manual,First Owner
Nissan Terrano XL Plus 85 PS,2015,451000,100000,Diesel,Individual,Manual,First Owner
Nissan Evalia XV,2014,650000,28245,Diesel,Dealer,Manual,First Owner
Nissan Micra XL,2017,415000,48965,Petrol,Dealer,Manual,First Owner
Nissan Terrano XL Plus 85 PS,2015,451000,100000,Diesel,Individual,Manual,First Owner
Nissan Kicks XV Premium D BSIV,2019,1350000,15000,Diesel,Individual,Manual,First Owner
Nissan Micra Diesel XV Primo,2012,225000,129000,Diesel,Individual,Manual,First Owner
Nissan Sunny Diesel XL,2012,300000,110000,Diesel,Individual,Manual,First Owner
Nissan Micra Active XV S,2013,164000,30000,Petrol,Individual,Manual,First Owner
Nissan Terrano XL P,2017,844999,30000,Petrol,Individual,Manual,First Owner
Nissan Terrano XV Premium 110 PS,2013,750000,80000,Diesel,Individual,Manual,First Owner
Nissan Sunny XV D Premium Leather,2015,450000,50000,Diesel,Individual,Manual,First Owner
Nissan Micra XL,2011,275000,40000,Petrol,Individual,Manual,Second Owner
Nissan Evalia XV,2014,650000,28245,Diesel,Dealer,Manual,First Owner
Nissan Sunny XL,2012,300000,80000,Petrol,Individual,Manual,Second Owner
Nissan Terrano XL 85 PS,2016,525000,100000,Diesel,Individual,Manual,Second Owner
Nissan Terrano XL 85 PS,2016,525000,105000,Diesel,Individual,Manual,Second Owner
Nissan X-Trail SLX MT,2010,600000,110000,Diesel,Individual,Manual,Second Owner
Nissan Micra Diesel XV,2011,199000,120000,Diesel,Individual,Manual,Second Owner
Nissan Micra XL,2016,440000,33000,Petrol,Individual,Manual,Second Owner
Nissan Kicks XL D BSIV,2019,1100000,4000,Diesel,Individual,Manual,First Owner
Nissan Micra XL,2013,363000,28740,Petrol,Individual,Manual,First Owner
Nissan Sunny XL,2012,290000,110000,Petrol,Individual,Manual,Second Owner
Nissan Sunny Diesel XL,2013,220000,90000,Diesel,Individual,Manual,Second Owner
Nissan Micra Diesel XV,2011,277000,62601,Diesel,Dealer,Manual,Second Owner
Nissan Micra Diesel XV Premium,2013,210000,13770,Diesel,Individual,Manual,First Owner
Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,Second Owner
Nissan Micra XL,2017,415000,48965,Petrol,Dealer,Manual,First Owner
Nissan Sunny Diesel XV,2013,325000,105000,Diesel,Individual,Manual,First Owner
Nissan Terrano XL Plus 85 PS,2015,490000,70000,Diesel,Individual,Manual,First Owner
Nissan Terrano XL 110 PS,2014,500000,120000,Diesel,Individual,Manual,Third Owner
Nissan Micra Diesel XV Premium,2011,160000,120000,Diesel,Individual,Manual,First Owner
Nissan Micra Active XV,2014,280000,63840,Petrol,Dealer,Manual,First Owner
Nissan Terrano XV Premium 110 PS,2014,550000,110000,Diesel,Individual,Manual,Second Owner
Nissan Sunny XL,2016,600000,19495,Petrol,Dealer,Manual,First Owner
Nissan Terrano XL Plus ICC WT20 SE,2016,1000000,60000,Diesel,Individual,Manual,First Owner
Nissan Terrano XL 110 PS,2013,600000,80000,Diesel,Individual,Manual,First Owner
Nissan Terrano XL Plus 85 PS,2015,530000,55000,Diesel,Dealer,Manual,First Owner
Nissan Sunny XL D,2018,500000,70000,Diesel,Individual,Manual,First Owner
Nissan Micra Active XV,2017,434999,16267,Petrol,Dealer,Manual,First Owner
Nissan Micra Diesel XV,2013,300000,90000,Diesel,Individual,Manual,First Owner
Nissan Micra Diesel XV,2013,300000,90000,Diesel,Individual,Manual,First Owner
Nissan Sunny XL D,2013,225000,78000,Diesel,Dealer,Manual,First Owner
Nissan Terrano XL 85 PS,2014,600000,27000,Diesel,Dealer,Manual,First Owner
Nissan Sunny XL,2012,250000,70000,Petrol,Individual,Manual,Third Owner
Nissan Terrano XE 85 PS,2013,500000,120000,Diesel,Individual,Manual,First Owner
Nissan Sunny Diesel XL,2012,300000,110000,Diesel,Individual,Manual,First Owner
Nissan Micra Active XV S,2013,164000,30000,Petrol,Individual,Manual,First Owner
Nissan Terrano XL 85 PS,2014,500000,82000,Diesel,Individual,Manual,First Owner
